Product ID,Product Code,Product Name,Category,subcategory,Price,,,29034,96938
1,96938,Detergent 120ml,Detergent,Detergent 120ml,19.84,,,33590,52554
2,52554,Soap 125gm - Normal,Soap,BS 125,8.33,,,33591,22134
3,22134,Soap 125gm - Red,Soap,BS 125,8.33,,,33592,75443
4,75443,Soap 125gm - blue,Soap,BS 125,8.33,,,33593,99185
5,99185,Soap 125gm - yellow,Soap,BS 125,8.33,,,33599,39671
6,39671,Soap 165gm - Normal,Soap,BS 165,10.83,,,33600,98761
7,98761,Soap 165gm - Red,Soap,BS 165,10.83,,,33908,78236
8,78236,Soap 165gm - blue,Soap,BS 165,10.83,,,35771,27977
9,27977,Soap 165gm - yellow,Soap,BS 165,10.83,,,29031,77397
10,77397,Soap 60gm - Normal,Soap,BS 60,3.5,,,29032,91553
11,91553,Soap 60gm - blue,Soap,BS 60,3.5,,,31986,60001
12,60001,Soap 60gm - Red,Soap,BS 60,3.5,,,24716,46375
13,46375,Soap 60gm - yellow,Soap,BS 60,3.5,,,33810,24050
14,24050,Soap 85gm - 24pcs Normal,Soap,BS 85,5.42,,,33594,83150
15,83150,Soap 85gm - Normal,Soap,BS 85,5.42,,,29033,82733
16,82733,Soap 85gm - Red,Soap,BS 85,5.42,,,17252,11419
17,11419,Soap 85gm - blue,Soap,BS 85,5.42,,,17253,46533
18,46533,Soap 85gm - yellow,Soap,BS 85,5.42,,,33205,32787
19,32787,Soap 85gm Normal 4 pcs - 3 EGP Discount,Soap,BS 85,23.33,,,34732,29944
20,29944,Soap 85gm Red 4 pcs - 3 EGP Discount,Soap,BS 85,5.42,,,31983,74527
21,74527,Detergent 50ml,Detergent,Detergent 50ml,53.56,,,31984,41850
22,41850,Detergent 500ml discounted 10%,Detergent,Detergent 500ml,47.83,,,31985,82910
23,82910,Detergent 1L discounted 10%,Detergent,Detergent 1 L 85 EGP,198.03,,,25756,74501
24,74501,Detergent 235ml,Detergent,Detergent Promo 235ml,38.66,,,35452,42400
25,42400,Detergent 750ml,Detergent,Detergent 750ml,147.72,,,4365,70804
26,70804,Detergent 245ml,Detergent,Detergent 245ml,38.67,,,23747,53774
27,53774,Detergent 500ml,Detergent,Detergent 500ml,74.36,,,23746,14599
28,14599,Detergent 750ml,Detergent,Detergent 750ml,108.06,,,8099,32354
29,32354,Detergent 1L,Detergent,Detergent 1 L,141.77,,,17820,38028
30,38028,Soap 115gm - Normal,Soap,BS 115,8.33,,,13166,77034
31,77034,Soap 115gm - Red,Soap,BS 115,8.33,,,#N/A,84998
32,84998,Soap 115gm - blue,Soap,BS 115,8.33,,,24713,18730
33,18730,Soap 115gm - yellow,Soap,BS 115,8.33,,,4364,90274
34,90274,SG 300ml,Shower gel,Shower gel 250ml,40.83,,,22950,73955
35,73955,SG 300ml Normal 2 Pcs with 50% discount,Shower gel,Shower gel 250ml,61.25,,,13167,35742
36,35742,SG 300ml Fresh 2 Pcs with 50% discount,Shower gel,Shower gel 250ml,61.25,,,17821,72557
37,72557,Soap 115gm - Normal 4 pcs 4EGP Discount,Soap,BS 115,31.33,,,8433,90059
38,90059,Soap 115gm - Red 4 pcs 4 EGP Discount,Soap,BS 115,31.33,,,7421,44871
39,44871,Soap 115gm - blue 4 pcs 4 EGP Discount,Soap,BS 115,31.33,,,29879,71913
